GAP_code,common_name,scientific_name,start_date,end_date,publication_date,citation,place_keywords,theme_keywords,editor,reviewer,NatureServe_element_code,TSN_code,Global_SEQ_ID,input_data,IPDS,abstract,doi,ScienceBase_url
aNRWAx,Neuse River Waterdog,Necturus lewisi,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Neuse River Waterdog (Necturus lewisi) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7H70D30.",United States,"Necturus lewisi, Neuse River Waterdog",Matt Rubino,Jeff Lonneker,AAAAE01030,173627,100341,"['natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Neuse River Waterdog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7H70D30,https://www.sciencebase.gov/catalog/item/58fa417be4b0b7ea54524a74
aNSSAx,Northern Slimy Salamander,Plethodon glutinosus,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Northern Slimy Salamander (Plethodon glutinosus) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7CJ8BRK.",United States,"Plethodon glutinosus, Northern Slimy Salamander",Matt Rubino,Steve Williams,AAAAD12070,173650,103372,"['natl_GAP_land_cover_ver1.0_(2001)', 'elevation']",IP-082267,"This dataset represents a species habitat distribution model for Northern Slimy Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7CJ8BRK,https://www.sciencebase.gov/catalog/item/58fa4180e4b0b7ea54524a77
aNTLSx,Northern Two-lined Salamander,Eurycea bislineata,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Northern Two-lined Salamander (Eurycea bislineata) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F77S7M2Q.",United States,"Eurycea bislineata, Northern Two-lined Salamander",Matt Rubino,Steve Williams,AAAAD05010,173685,105466,"['elevation', 'natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Northern Two-lined Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F77S7M2Q,https://www.sciencebase.gov/catalog/item/58fa4184e4b0b7ea54524a7b
aNZSAx,Northern Zigzag Salamander,Plethodon dorsalis,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Northern Zigzag Salamander (Plethodon dorsalis) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7416VB9.",United States,"Plethodon dorsalis, Northern Zigzag Salamander",Matt Rubino,Steve Williams,AAAAD12030,173653,100444,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Northern Zigzag Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7416VB9,https://www.sciencebase.gov/catalog/item/58fa4188e4b0b7ea54524a7e
aOATOx,Oak Toad,Anaxyrus quercicus,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Oak Toad (Anaxyrus quercicus) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F70863KH.",United States,"Anaxyrus quercicus, Oak Toad",Matt Rubino,Nathan Tarr,AAABB01130,773528,102537,"['natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Oak Toad.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F70863KH,https://www.sciencebase.gov/catalog/item/58fa418de4b0b7ea54524a82
aOCFRx,Ornate Chorus Frog,Pseudacris ornata,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Ornate Chorus Frog (Pseudacris ornata) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7VH5M37.",United States,"Pseudacris ornata, Ornate Chorus Frog",Ken Boykin,Jeff Lonneker,AAABC05050,173531,105957,"['natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Ornate Chorus Frog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7VH5M37,https://www.sciencebase.gov/catalog/item/58fa4191e4b0b7ea54524a85
aOCSAx,Ocoee Salamander,Desmognathus ocoee,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Ocoee Salamander (Desmognathus ocoee) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7QR4VCH.",United States,"Desmognathus ocoee, Ocoee Salamander",Matt Rubino,Jeff Lonneker,AAAAD03140,550243,102721,"['natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Ocoee Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7QR4VCH,https://www.sciencebase.gov/catalog/item/58fa4196e4b0b7ea54524a88
aOCSSx,Ocmulgee Slimy Salamander,Plethodon ocmulgee,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Ocmulgee Slimy Salamander (Plethodon ocmulgee) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7M043PX.",United States,"Plethodon ocmulgee, Ocmulgee Slimy Salamander",Matt Rubino,Jeff Lonneker,AAAAD12520,208290,732495,"['natl_GAP_land_cover_ver1.0_(2001)', 'elevation']",IP-082267,"This dataset represents a species habitat distribution model for Ocmulgee Slimy Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7M043PX,https://www.sciencebase.gov/catalog/item/58fa419be4b0b7ea54524a8b
aODSAx,Ouachita Dusky Salamander,Desmognathus brimleyorum,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Ouachita Dusky Salamander (Desmognathus brimleyorum) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7GB22BG.",United States,"Desmognathus brimleyorum, Ouachita Dusky Salamander",Matt Rubino,Steve Williams,AAAAD03030,173638,104852,"['elevation', 'natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Ouachita Dusky Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7GB22BG,https://www.sciencebase.gov/catalog/item/58fa419fe4b0b7ea54524a8f
aOKSAx,Oklahoma Salamander,Eurycea tynerensis,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Oklahoma Salamander (Eurycea tynerensis) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7BK19N6.",United States,"Eurycea tynerensis, Oklahoma Salamander",Matt Rubino,Steve Williams,AAAAD05120,173697,101901,"['natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Oklahoma Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7BK19N6,https://www.sciencebase.gov/catalog/item/58fa41a4e4b0b7ea54524a92
aORFRx,Oregon Spotted Frog,Rana pretiosa,2008.0,2014.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Oregon Spotted Frog (Rana pretiosa) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F76T0JXG.",United States,"Rana pretiosa, Oregon Spotted Frog",Jeff Lonneker,Matt Rubino,AAABH01180,173458,101451,"['hydrology', 'natl_GAP_land_cover_ver1.0_(2001)', 'elevation']",IP-082267,"This dataset represents a species habitat distribution model for Oregon Spotted Frog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F76T0JXG,https://www.sciencebase.gov/catalog/item/58fa41a8e4b0b7ea54524a95
aOSSAx,Oregon Slender Salamander,Batrachoseps wrightorum,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Oregon Slender Salamander (Batrachoseps wrightorum) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7319T5G.",United States,"Batrachoseps wrightorum, Oregon Slender Salamander",Ken Boykin,Jeff Lonneker,AAAAD02100,573579,100214,"['natl_GAP_land_cover_ver1.0_(2001)', 'elevation']",IP-082267,"This dataset represents a species habitat distribution model for Oregon Slender Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7319T5G,https://www.sciencebase.gov/catalog/item/58fa41ade4b0b7ea54524a98
aOTAMx,One-toed Amphiuma,Amphiuma pholeter,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, One-toed Amphiuma (Amphiuma pholeter) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7Z899P5.",United States,"Amphiuma pholeter, One-toed Amphiuma",Matt Rubino,Jeff Lonneker,AAAAB01020,173611,103402,"['natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for One-toed Amphiuma.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7Z899P5,https://www.sciencebase.gov/catalog/item/58fa41b2e4b0b7ea54524a9c
aOTSAx,Olympic Torrent Salamander,Rhyacotriton olympicus,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Olympic Torrent Salamander (Rhyacotriton olympicus) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7TH8JZF.",United States,"Rhyacotriton olympicus, Olympic Torrent Salamander",Ken Boykin,Jeff Lonneker,AAAAJ01010,173745,104835,"['natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Olympic Torrent Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7TH8JZF,https://www.sciencebase.gov/catalog/item/58fa41b7e4b0b7ea54524aa0
aOZSAx,Ozark Zigzag Salamander,Plethodon angusticlavius,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Ozark Zigzag Salamander (Plethodon angusticlavius) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7PR7T8K.",United States,"Plethodon angusticlavius, Ozark Zigzag Salamander",Matt Rubino,Steve Williams,AAAAD12380,668317,100907,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Ozark Zigzag Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7PR7T8K,https://www.sciencebase.gov/catalog/item/58fa41bde4b0b7ea54524aa3
aPBTRx,Pine Barrens Treefrog,Hyla andersonii,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Pine Barrens Treefrog (Hyla andersonii) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7K35RX1.",United States,"Hyla andersonii, Pine Barrens Treefrog",Amy Silvano,Jeff Lonneker,AAABC02010,173509,102258,"['natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Pine Barrens Treefrog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7K35RX1,https://www.sciencebase.gov/catalog/item/58fa41c5e4b0b7ea54524aa7
aPIFRx,Pickerel Frog,Lithobates palustris,2008.0,2015.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Pickerel Frog (Lithobates palustris) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7FB517J.",United States,"Lithobates palustris, Pickerel Frog",Ken Boykin,Jeff Lonneker,AAABH01160,775107,101857,"['natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Pickerel Frog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7FB517J,https://www.sciencebase.gov/catalog/item/58fa41cae4b0b7ea54524aaa
aPIGFx,Pig Frog,Lithobates grylio,2008.0,2015.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Pig Frog (Lithobates grylio) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F79K48HT.",United States,"Lithobates grylio, Pig Frog",Ken Boykin,Steve Williams,AAABH01110,775091,102371,"['natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Pig Frog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F79K48HT,https://www.sciencebase.gov/catalog/item/58fa41cfe4b0b7ea54524aae
aPLFRx,Plains Leopard Frog,Lithobates blairi,2008.0,2015.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Plains Leopard Frog (Lithobates blairi) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F75T3HRN.",United States,"Lithobates blairi, Plains Leopard Frog",Ken Boykin,Jeff Lonneker,AAABH01040,775080,104999,"['hydrology', 'natl_GAP_land_cover_ver1.0_(2001)', 'elevation']",IP-082267,"This dataset represents a species habitat distribution model for Plains Leopard Frog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F75T3HRN,https://www.sciencebase.gov/catalog/item/58fa41d3e4b0b7ea54524ab1
aPLSPx,Plains Spadefoot,Spea bombifrons,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Plains Spadefoot (Spea bombifrons) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7222S1N.",United States,"Spea bombifrons, Plains Spadefoot",Ken Boykin,Jeff Lonneker,AAABF02010,206989,100558,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Plains Spadefoot.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7222S1N,https://www.sciencebase.gov/catalog/item/58fa41d9e4b0b7ea54524ab4
aPMSAx,Pigeon Mountain Salamander,Plethodon petraeus,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Pigeon Mountain Salamander (Plethodon petraeus) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7X928KS.",United States,"Plethodon petraeus, Pigeon Mountain Salamander",Matt Rubino,Jeff Lonneker,AAAAD12310,208291,106370,"['natl_GAP_land_cover_ver1.0_(2001)', 'elevation']",IP-082267,"This dataset represents a species habitat distribution model for Pigeon Mountain Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7X928KS,https://www.sciencebase.gov/catalog/item/58fa41e5e4b0b7ea54524ab8
aPOSAx,Peaks Of Otter Salamander,Plethodon hubrichti,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Peaks Of Otter Salamander (Plethodon hubrichti) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7SJ1HWH.",United States,"Plethodon hubrichti, Peaks Of Otter Salamander",Matt Rubino,Jeff Lonneker,AAAAD12290,173658,102159,"['natl_GAP_land_cover_ver1.0_(2001)', 'elevation']",IP-082267,"This dataset represents a species habitat distribution model for Peaks Of Otter Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7SJ1HWH,https://www.sciencebase.gov/catalog/item/58fa41ece4b0b7ea54524abc
aPWTRx,Pine Woods Treefrog,Hyla femoralis,2008.0,2015.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Pine Woods Treefrog (Hyla femoralis) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7NV9GH2.",United States,"Hyla femoralis, Pine Woods Treefrog",Ken Boykin,Jeff Lonneker,AAABC02090,173499,106454,"['natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Pine Woods Treefrog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7NV9GH2,https://www.sciencebase.gov/catalog/item/58fa41f5e4b0b7ea54524ac0
aPYSAx,Pygmy Salamander,Desmognathus wrighti,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Pygmy Salamander (Desmognathus wrighti) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7J38QT3.",United States,"Desmognathus wrighti, Pygmy Salamander",Matt Rubino,Jeff Lonneker,AAAAD03100,173645,102489,"['natl_GAP_land_cover_ver1.0_(2001)', 'elevation']",IP-082267,"This dataset represents a species habitat distribution model for Pygmy Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7J38QT3,https://www.sciencebase.gov/catalog/item/58fa41ffe4b0b7ea54524ac3
aRBNEx,Red-bellied Newt,Taricha rivularis,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Red-bellied Newt (Taricha rivularis) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7DB8035.",United States,"Taricha rivularis, Red-bellied Newt",Ken Boykin,Jeff Lonneker,AAAAF02020,173621,100208,"['elevation', 'natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Red-bellied Newt.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7DB8035,https://www.sciencebase.gov/catalog/item/58fa4206e4b0b7ea54524ac7
aRCSAx,Red-cheeked Salamander,Plethodon jordani,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Red-cheeked Salamander (Plethodon jordani) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F78K77B0.",United States,"Plethodon jordani, Red-cheeked Salamander",Matt Rubino,Jeff Lonneker,AAAAD12090,173660,101045,"['natl_GAP_land_cover_ver1.0_(2001)', 'elevation']",IP-082267,"This dataset represents a species habitat distribution model for Red-cheeked Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F78K77B0,https://www.sciencebase.gov/catalog/item/58fa420ce4b0b7ea54524aca
aRESAx,Red Salamander,Pseudotriton ruber,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Red Salamander (Pseudotriton ruber) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F74T6GM8.",United States,"Pseudotriton ruber, Red Salamander",Matt Rubino,Steve Williams,AAAAD13020,173680,101775,"['elevation', 'natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Red Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F74T6GM8,https://www.sciencebase.gov/catalog/item/58fa4212e4b0b7ea54524ace
aRFSAx,Reticulated Flatwoods Salamander,Ambystoma bishopi,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Reticulated Flatwoods Salamander (Ambystoma bishopi) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7125QX9.",United States,"Ambystoma bishopi, Reticulated Flatwoods Salamander",Matt Rubino,Steve Williams,AAAAA01210,775866,802300,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Reticulated Flatwoods Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7125QX9,https://www.sciencebase.gov/catalog/item/58fa4219e4b0b7ea54524ad1
aRGCFx,Rio Grande Chirping Frog,Eleutherodactylus cystignathoides,2008.0,2015.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Rio Grande Chirping Frog (Eleutherodactylus cystignathoides) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7W957GV.",United States,"Eleutherodactylus cystignathoides, Rio Grande Chirping Frog",Ken Boykin,Jeff Lonneker,AAABD04210,550238,103536,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Rio Grande Chirping Frog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7W957GV,https://www.sciencebase.gov/catalog/item/58fa421ee4b0b7ea54524ad4
aRGLFx,Rio Grande Leopard Frog,Lithobates berlandieri,2008.0,2015.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Rio Grande Leopard Frog (Lithobates berlandieri) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7RN364D.",United States,"Lithobates berlandieri, Rio Grande Leopard Frog",Ken Boykin,Jeff Lonneker,AAABH01030,775079,106539,"['hydrology', 'natl_GAP_land_cover_ver1.0_(2001)', 'elevation']",IP-082267,"This dataset represents a species habitat distribution model for Rio Grande Leopard Frog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7RN364D,https://www.sciencebase.gov/catalog/item/58fa4223e4b0b7ea54524ad8
aRHSAx,Red Hills Salamander,Phaeognathus hubrichti,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Red Hills Salamander (Phaeognathus hubrichti) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7MW2FF4.",United States,"Phaeognathus hubrichti, Red Hills Salamander",Matt Rubino,Jeff Lonneker,AAAAD11010,173725,103613,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Red Hills Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7MW2FF4,https://www.sciencebase.gov/catalog/item/58fa4229e4b0b7ea54524adb
aRIFRx,River Frog,Lithobates heckscheri,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, River Frog (Lithobates heckscheri) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7H41PQQ.",United States,"Lithobates heckscheri, River Frog",Amy Silvano,Jeff Lonneker,AAABH01120,775092,103815,"['natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for River Frog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7H41PQQ,https://www.sciencebase.gov/catalog/item/58fa422fe4b0b7ea54524ade
aRISAx,Ringed Salamander,Ambystoma annulatum,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Ringed Salamander (Ambystoma annulatum) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7CC0XZJ.",United States,"Ambystoma annulatum, Ringed Salamander",Matt Rubino,Steve Williams,AAAAA01010,173594,104324,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Ringed Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7CC0XZJ,https://www.sciencebase.gov/catalog/item/58fa4234e4b0b7ea54524ae2
aRLFRx,Relict Leopard Frog,Lithobates onca,2008.0,2015.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Relict Leopard Frog (Lithobates onca) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F77M0665.",United States,"Lithobates onca, Relict Leopard Frog",Ken Boykin,Jeff Lonneker,AAABH01150,775105,106274,"['elevation', 'natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Relict Leopard Frog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F77M0665,https://www.sciencebase.gov/catalog/item/58fa4239e4b0b7ea54524ae6
aRLSAx,Red-legged Salamander,Plethodon shermani,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Red-legged Salamander (Plethodon shermani) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F73T9FHB.",United States,"Plethodon shermani, Red-legged Salamander",Matt Rubino,Jeff Lonneker,AAAAD12470,668323,100811,"['natl_GAP_land_cover_ver1.0_(2001)', 'elevation']",IP-082267,"This dataset represents a species habitat distribution model for Red-legged Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F73T9FHB,https://www.sciencebase.gov/catalog/item/58fa423ee4b0b7ea54524ae9
