GAP_code,common_name,scientific_name,start_date,end_date,publication_date,citation,place_keywords,theme_keywords,modeler,NatureServe_element_code,TSN_code,EGT_ID,input_data,IPDS,abstract
aOZSAx,Ozark Zigzag Salamander,Plethodon angusticlavius,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Ozark Zigzag Salamander (Plethodon angusticlavius) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Plethodon angusticlavius, Ozark Zigzag Salamander",Matthew Rubino,AAAAD12380,668317,100907,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Ozark Zigzag Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aPBTRx,Pine Barrens Treefrog,Hyla andersonii,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Pine Barrens Treefrog (Hyla andersonii) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Hyla andersonii, Pine Barrens Treefrog",,AAABC02010,173509,102258,"['natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Pine Barrens Treefrog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aPIFRx,Pickerel Frog,Lithobates palustris,2008.0,2015.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Pickerel Frog (Lithobates palustris) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Lithobates palustris, Pickerel Frog",Ken Boykin,AAABH01160,775107,101857,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Pickerel Frog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aPIGFx,Pig Frog,Lithobates grylio,2008.0,2015.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Pig Frog (Lithobates grylio) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Lithobates grylio, Pig Frog",Ken Boykin,AAABH01110,775091,102371,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Pig Frog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aPLFRx,Plains Leopard Frog,Lithobates blairi,2008.0,2015.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Plains Leopard Frog (Lithobates blairi) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Lithobates blairi, Plains Leopard Frog",Ken Boykin,AAABH01040,775080,104999,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Plains Leopard Frog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aPLSPx,Plains Spadefoot,Spea bombifrons,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Plains Spadefoot (Spea bombifrons) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Spea bombifrons, Plains Spadefoot",Ken Boykin,AAABF02010,206989,100558,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Plains Spadefoot.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aPMSAx,Pigeon Mountain Salamander,Plethodon petraeus,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Pigeon Mountain Salamander (Plethodon petraeus) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Plethodon petraeus, Pigeon Mountain Salamander",,AAAAD12310,208291,106370,"['natl_GAP_land_cover_ver1.0_(2001)', 'elevation']",IP-082267,"This dataset represents a species habitat distribution model for Pigeon Mountain Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aPOSAx,Peaks Of Otter Salamander,Plethodon hubrichti,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Peaks Of Otter Salamander (Plethodon hubrichti) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Plethodon hubrichti, Peaks Of Otter Salamander",,AAAAD12290,173658,102159,"['natl_GAP_land_cover_ver1.0_(2001)', 'elevation']",IP-082267,"This dataset represents a species habitat distribution model for Peaks Of Otter Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aPWTRx,Pine Woods Treefrog,Hyla femoralis,2008.0,2015.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Pine Woods Treefrog (Hyla femoralis) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Hyla femoralis, Pine Woods Treefrog",Ken Boykin,AAABC02090,173499,106454,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Pine Woods Treefrog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aPYSAx,Pygmy Salamander,Desmognathus wrighti,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Pygmy Salamander (Desmognathus wrighti) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Desmognathus wrighti, Pygmy Salamander",,AAAAD03100,173645,102489,"['natl_GAP_land_cover_ver1.0_(2001)', 'elevation']",IP-082267,"This dataset represents a species habitat distribution model for Pygmy Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aRBNEx,Red-bellied Newt,Taricha rivularis,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Red-bellied Newt (Taricha rivularis) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Taricha rivularis, Red-bellied Newt",Ken Boykin,AAAAF02020,173621,100208,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Red-bellied Newt.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aRCSAx,Red-cheeked Salamander,Plethodon jordani,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Red-cheeked Salamander (Plethodon jordani) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Plethodon jordani, Red-cheeked Salamander",,AAAAD12090,173660,101045,"['natl_GAP_land_cover_ver1.0_(2001)', 'elevation']",IP-082267,"This dataset represents a species habitat distribution model for Red-cheeked Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aRESAx,Red Salamander,Pseudotriton ruber,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Red Salamander (Pseudotriton ruber) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Pseudotriton ruber, Red Salamander",Matthew Rubino,AAAAD13020,173680,101775,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Red Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aRFSAx,Reticulated Flatwoods Salamander,Ambystoma bishopi,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Reticulated Flatwoods Salamander (Ambystoma bishopi) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Ambystoma bishopi, Reticulated Flatwoods Salamander",Matthew Rubino,AAAAA01210,775866,802300,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Reticulated Flatwoods Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aRGCFx,Rio Grande Chirping Frog,Eleutherodactylus cystignathoides,2008.0,2015.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Rio Grande Chirping Frog (Eleutherodactylus cystignathoides) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Eleutherodactylus cystignathoides, Rio Grande Chirping Frog",Ken Boykin,AAABD04210,550238,103536,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Rio Grande Chirping Frog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aRGLFx,Rio Grande Leopard Frog,Lithobates berlandieri,2008.0,2015.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Rio Grande Leopard Frog (Lithobates berlandieri) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Lithobates berlandieri, Rio Grande Leopard Frog",Ken Boykin,AAABH01030,775079,106539,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Rio Grande Leopard Frog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aRHSAx,Red Hills Salamander,Phaeognathus hubrichti,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Red Hills Salamander (Phaeognathus hubrichti) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Phaeognathus hubrichti, Red Hills Salamander",,AAAAD11010,173725,103613,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Red Hills Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aRIFRx,River Frog,Lithobates heckscheri,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, River Frog (Lithobates heckscheri) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Lithobates heckscheri, River Frog",,AAABH01120,775092,103815,"['natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for River Frog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aRISAx,Ringed Salamander,Ambystoma annulatum,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Ringed Salamander (Ambystoma annulatum) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Ambystoma annulatum, Ringed Salamander",Matthew Rubino,AAAAA01010,173594,104324,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Ringed Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aRLFRx,Relict Leopard Frog,Lithobates onca,2008.0,2015.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Relict Leopard Frog (Lithobates onca) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Lithobates onca, Relict Leopard Frog",Ken Boykin,AAABH01150,775105,106274,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Relict Leopard Frog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aRLSAx,Red-legged Salamander,Plethodon shermani,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Red-legged Salamander (Plethodon shermani) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Plethodon shermani, Red-legged Salamander",,AAAAD12470,668323,100811,"['natl_GAP_land_cover_ver1.0_(2001)', 'elevation']",IP-082267,"This dataset represents a species habitat distribution model for Red-legged Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aRMSAx,Rich Mountain Salamander,Plethodon ouachitae,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Rich Mountain Salamander (Plethodon ouachitae) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Plethodon ouachitae, Rich Mountain Salamander",Matthew Rubino,AAAAD12130,173665,104184,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Rich Mountain Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aROTFx,Rocky Mountain Tailed Frog,Ascaphus montanus,2008.0,2015.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Rocky Mountain Tailed Frog (Ascaphus montanus) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Ascaphus montanus, Rocky Mountain Tailed Frog",Ken Boykin,AAABA01020,661593,104648,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Rocky Mountain Tailed Frog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aRSNEx,Rough-skinned Newt,Taricha granulosa,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Rough-skinned Newt (Taricha granulosa) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Taricha granulosa, Rough-skinned Newt",Ken Boykin,AAAAF02010,173620,100302,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Rough-skinned Newt.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aRSSAx,Relictual Slender Salamander,Batrachoseps relictus,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Relictual Slender Salamander (Batrachoseps relictus) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Batrachoseps relictus, Relictual Slender Salamander",Ken Boykin,AAAAD02070,208344,102917,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Relictual Slender Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aRSTOx,Red-spotted Toad,Anaxyrus punctatus,2008.0,2015.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Red-spotted Toad (Anaxyrus punctatus) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Anaxyrus punctatus, Red-spotted Toad",Ken Boykin,AAABB01120,773527,103152,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Red-spotted Toad.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aSADSx,Santeetlah Dusky Salamander,Desmognathus santeetlah,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Santeetlah Dusky Salamander (Desmognathus santeetlah) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Desmognathus santeetlah, Santeetlah Dusky Salamander",,AAAAD03110,173643,101251,"['elevation', 'natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Santeetlah Dusky Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aSASAx,Salado Salamander,Eurycea chisholmensis,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Salado Salamander (Eurycea chisholmensis) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Eurycea chisholmensis, Salado Salamander",Ken Boykin,AAAAD05190,668290,103095,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Salado Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aSCFRx,Southern Cricket Frog,Acris gryllus,2008.0,2015.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Southern Cricket Frog (Acris gryllus) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Acris gryllus, Southern Cricket Frog",Ken Boykin,AAABC01020,173518,103292,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Southern Cricket Frog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aSCSAx,Scott Bar Salamander,Plethodon asupak,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Scott Bar Salamander (Plethodon asupak) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Plethodon asupak, Scott Bar Salamander",Ken Boykin,AAAAD12560,685566,777949,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Scott Bar Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aSCSSx,South Carolina Slimy Salamander,Plethodon variolatus,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, South Carolina Slimy Salamander (Plethodon variolatus) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Plethodon variolatus, South Carolina Slimy Salamander",,AAAAD121G3,208295,999,"['natl_GAP_land_cover_ver1.0_(2001)', 'elevation']",IP-082267,"This dataset represents a species habitat distribution model for South Carolina Slimy Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aSDSAx,Shenandoah Salamander,Plethodon shenandoah,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Shenandoah Salamander (Plethodon shenandoah) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Plethodon shenandoah, Shenandoah Salamander",,AAAAD12170,173669,101967,['undocumented'],IP-082267,"This dataset represents a species habitat distribution model for Shenandoah Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aSDSIx,Southern Dwarf Siren,Pseudobranchus axanthus,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Southern Dwarf Siren (Pseudobranchus axanthus) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Pseudobranchus axanthus, Southern Dwarf Siren",Matthew Rubino,AAAAG01020,550244,101066,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Southern Dwarf Siren.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aSEASx,Seal Salamander,Desmognathus monticola,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Seal Salamander (Desmognathus monticola) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Desmognathus monticola, Seal Salamander",Matthew Rubino,AAAAD03060,173640,102693,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Seal Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aSEESx,Seepage Salamander,Desmognathus aeneus,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Seepage Salamander (Desmognathus aeneus) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Desmognathus aeneus, Seepage Salamander",,AAAAD03010,173636,100247,"['hydrology', 'natl_GAP_land_cover_ver1.0_(2001)', 'elevation']",IP-082267,"This dataset represents a species habitat distribution model for Seepage Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aSENEx,Sierra Newt,Taricha sierrea,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Sierra Newt (Taricha sierrea) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Taricha sierrea, Sierra Newt",Ken Boykin,AAAAF02031,,,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Sierra Newt.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aSGCSx,Southern Gray-cheeked Salamander,Plethodon metcalfi,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Southern Gray-cheeked Salamander (Plethodon metcalfi) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Plethodon metcalfi, Southern Gray-cheeked Salamander",,AAAAD12440,668321,101421,"['natl_GAP_land_cover_ver1.0_(2001)', 'elevation']",IP-082267,"This dataset represents a species habitat distribution model for Southern Gray-cheeked Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aSGSSx,San Gabriel Mountains Slender Salamander,Batrachoseps gabrieli,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, San Gabriel Mountains Slender Salamander (Batrachoseps gabrieli) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Batrachoseps gabrieli, San Gabriel Mountains Slender Salamander",Ken Boykin,AAAAD02110,550545,100899,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for San Gabriel Mountains Slender Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aSGTOx,Sonoran Green Toad,Anaxyrus retiformis,2008.0,2015.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Sonoran Green Toad (Anaxyrus retiformis) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Anaxyrus retiformis, Sonoran Green Toad",Ken Boykin,AAABB01140,773529,102279,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Sonoran Green Toad.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aSHFRx,Sheep Frog,Hypopachus variolosus,2008.0,2015.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Sheep Frog (Hypopachus variolosus) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Hypopachus variolosus, Sheep Frog",Ken Boykin,AAABE02010,173470,102316,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Sheep Frog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aSHMSx,Shenandoah Mountain Salamander,Plethodon virginia,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Shenandoah Mountain Salamander (Plethodon virginia) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Plethodon virginia, Shenandoah Mountain Salamander",Matthew Rubino,AAAAD12400,668325,104446,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Shenandoah Mountain Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aSHSAx,Shasta Salamander,Hydromantes shastae,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Shasta Salamander (Hydromantes shastae) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Hydromantes shastae, Shasta Salamander",Ken Boykin,AAAAD09030,173721,103280,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Shasta Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
